schedule_id,block_id,duty_id,driver_id,vehicle_id,from_vehicle_id,to_vehicle_id,sequence,event_type,event_label,event_scope,start_time,end_time,duration_minutes,origin_id,destination_id,trip_ids,trip_count,is_work_time,is_driving_time,is_idle_time,is_normal_break,is_mandatory_rest,is_pullout,is_pullback,rest_valid,rule_code,violation_code,explanation
448,6,2,2,,6,1,20,driver_vehicle_change,Troca de veículo,driver,09:55,09:55,0,1,1,,0,False,False,False,False,False,False,False,False,,,Motorista troca de veículo entre blocos distintos da mesma jornada.
448,6,2,2,,6,1,21,driver_vehicle_change,Troca de veículo,driver,09:55,09:55,0,1,1,,0,False,False,False,False,False,False,False,False,,,Motorista troca de veículo entre blocos distintos da mesma jornada.
448,6,2,2,,6,1,22,normal_break,Intervalo normal,driver,09:55,10:47,52,1,1,,0,False,False,False,True,False,False,False,False,,,Motorista real não disponível; usando identificador da duty
448,1,2,2,1,,,23,commercial_trip_bundle,Viagem agrupada,driver_vehicle,10:47,11:10,23,1,1,5544;5547,2,True,True,False,False,False,False,False,False,,,Segmento operacional agrupado com 2 viagens reais.
448,1,2,2,,1,7,24,driver_vehicle_change,Troca de veículo,driver,11:10,11:10,0,1,1,,0,False,False,False,False,False,False,False,False,,,Motorista troca de veículo entre blocos distintos da mesma jornada.
448,1,2,2,,1,7,25,driver_vehicle_change,Troca de veículo,driver,11:10,11:10,0,1,1,,0,False,False,False,False,False,False,False,False,,,Motorista troca de veículo entre blocos distintos da mesma jornada.
448,1,2,2,,1,7,26,mandatory_rest,Descanso obrigatório,driver,11:10,11:45,35,1,1,,0,False,False,False,False,True,False,False,True,,,Motorista real não disponível; usando identificador da duty
448,7,2,2,7,,,27,commercial_trip_bundle,Viagem agrupada,driver_vehicle,11:45,12:50,65,1,1,5565;5572,2,True,True,False,False,False,False,False,False,,,Segmento operacional agrupado com 2 viagens reais.
448,7,2,2,,7,3,28,driver_vehicle_change,Troca de veículo,driver,12:50,12:50,0,1,1,,0,False,False,False,False,False,False,False,False,,,Motorista troca de veículo entre blocos distintos da mesma jornada.
448,7,2,2,,7,3,29,driver_vehicle_change,Troca de veículo,driver,12:50,12:50,0,1,1,,0,False,False,False,False,False,False,False,False,,,Motorista troca de veículo entre blocos distintos da mesma jornada.
448,7,2,2,,7,3,30,normal_break,Intervalo normal,driver,12:50,13:11,21,1,1,,0,False,False,False,True,False,False,False,False,,,Motorista real não disponível; usando identificador da duty
448,3,2,2,3,,,31,commercial_trip_bundle,Viagem agrupada,driver_vehicle,13:11,13:32,21,1,1,5580;5582,2,True,True,False,False,False,False,False,False,,,Segmento operacional agrupado com 2 viagens reais.
448,,2,2,,,,32,duty_end,Fim de jornada,driver,13:32,13:32,0,1,1,,0,False,False,False,False,False,False,False,False,,,Motorista real não disponível; usando identificador da duty
448,,3,3,,,,1,duty_start,Início de jornada,driver,04:25,04:25,0,1,1,,0,False,False,False,False,False,False,False,False,,,Motorista real não disponível; usando identificador da duty
448,,3,3,,,,2,pullout,Soltura,driver,04:25,04:35,10,1,1,,0,False,False,False,False,False,True,False,False,,,Motorista real não disponível; usando identificador da duty
448,3,3,3,3,,,3,commercial_trip_bundle,Viagem agrupada,driver_vehicle,04:35,04:48,13,1,1,5427;5428,2,True,True,False,False,False,False,False,False,,,Segmento operacional agrupado com 2 viagens reais.
448,3,3,3,,3,3,4,normal_break,Intervalo normal,driver,04:48,05:00,12,1,1,,0,False,False,False,True,False,False,False,False,,,Motorista real não disponível; usando identificador da duty
448,3,3,3,3,,,5,commercial_trip_bundle,Viagem agrupada,driver_vehicle,05:00,05:26,26,1,1,5433;5436,2,True,True,False,False,False,False,False,False,,,Segmento operacional agrupado com 2 viagens reais.
448,3,3,3,,3,2,6,driver_vehicle_change,Troca de veículo,driver,05:26,05:26,0,1,1,,0,False,False,False,False,False,False,False,False,,,Motorista troca de veículo entre blocos distintos da mesma jornada.
448,3,3,3,,3,2,7,driver_vehicle_change,Troca de veículo,driver,05:26,05:26,0,1,1,,0,False,False,False,False,False,False,False,False,,,Motorista troca de veículo entre blocos distintos da mesma jornada.
448,3,3,3,,3,2,8,normal_break,Intervalo normal,driver,05:26,05:49,23,1,1,,0,False,False,False,True,False,False,False,False,,,Motorista real não disponível; usando identificador da duty
448,2,3,3,2,,,9,commercial_trip_bundle,Viagem agrupada,driver_vehicle,05:49,06:08,19,1,1,5448;5449,2,True,True,False,False,False,False,False,False,,,Segmento operacional agrupado com 2 viagens reais.
448,2,3,3,,2,2,10,normal_break,Intervalo normal,driver,06:08,06:18,10,1,1,,0,False,False,False,True,False,False,False,False,,,Motorista real não disponível; usando identificador da duty
448,2,3,3,2,,,11,commercial_trip_bundle,Viagem agrupada,driver_vehicle,06:18,06:45,27,1,1,5459;5465,2,True,True,False,False,False,False,False,False,,,Segmento operacional agrupado com 2 viagens reais.
448,2,3,3,,2,6,12,driver_vehicle_change,Troca de veículo,driver,06:45,06:45,0,1,1,,0,False,False,False,False,False,False,False,False,,,Motorista troca de veículo entre blocos distintos da mesma jornada.
448,2,3,3,,2,6,13,driver_vehicle_change,Troca de veículo,driver,06:45,06:45,0,1,1,,0,False,False,False,False,False,False,False,False,,,Motorista troca de veículo entre blocos distintos da mesma jornada.
448,2,3,3,,2,6,14,normal_break,Intervalo normal,driver,06:45,07:00,15,1,1,,0,False,False,False,True,False,False,False,False,,,Motorista real não disponível; usando identificador da duty
448,6,3,3,6,,,15,commercial_trip_bundle,Viagem agrupada,driver_vehicle,07:00,07:29,29,1,1,5478;5483,2,True,True,False,False,False,False,False,False,,,Segmento operacional agrupado com 2 viagens reais.
448,,3,3,,,,16,duty_end,Fim de jornada,driver,07:29,07:29,0,1,1,,0,False,False,False,False,False,False,False,False,,,Motorista real não disponível; usando identificador da duty
448,,4,4,,,,1,duty_start,Início de jornada,driver,04:35,04:35,0,1,1,,0,False,False,False,False,False,False,False,False,,,Motorista real não disponível; usando identificador da duty
448,,4,4,,,,2,pullout,Soltura,driver,04:35,04:45,10,1,1,,0,False,False,False,False,False,True,False,False,,,Motorista real não disponível; usando identificador da duty
448,4,4,4,4,,,3,commercial_trip_bundle,Viagem agrupada,driver_vehicle,04:45,05:07,22,1,1,5430;5432,2,True,True,False,False,False,False,False,False,,,Segmento operacional agrupado com 2 viagens reais.
448,4,4,4,,4,4,4,normal_break,Intervalo normal,driver,05:07,05:20,13,1,1,,0,False,False,False,True,False,False,False,False,,,Motorista real não disponível; usando identificador da duty
448,4,4,4,4,,,5,commercial_trip_bundle,Viagem agrupada,driver_vehicle,05:20,06:21,61,1,1,5444;5454,2,True,True,False,False,False,False,False,False,,,Segmento operacional agrupado com 2 viagens reais.
448,4,4,4,,4,9,6,driver_vehicle_change,Troca de veículo,driver,06:21,06:21,0,1,1,,0,False,False,False,False,False,False,False,False,,,Motorista troca de veículo entre blocos distintos da mesma jornada.
448,4,4,4,,4,9,7,driver_vehicle_change,Troca de veículo,driver,06:21,06:21,0,1,1,,0,False,False,False,False,False,False,False,False,,,Motorista troca de veículo entre blocos distintos da mesma jornada.
448,4,4,4,,4,9,8,normal_break,Intervalo normal,driver,06:21,06:34,13,1,1,,0,False,False,False,True,False,False,False,False,,,Motorista real não disponível; usando identificador da duty
448,9,4,4,9,,,9,commercial_trip_bundle,Viagem agrupada,driver_vehicle,06:34,07:01,27,1,1,5466;5472,2,True,True,False,False,False,False,False,False,,,Segmento operacional agrupado com 2 viagens reais.
448,9,4,4,,9,1,10,driver_vehicle_change,Troca de veículo,driver,07:01,07:01,0,1,1,,0,False,False,False,False,False,False,False,False,,,Motorista troca de veículo entre blocos distintos da mesma jornada.
448,9,4,4,,9,1,11,driver_vehicle_change,Troca de veículo,driver,07:01,07:01,0,1,1,,0,False,False,False,False,False,False,False,False,,,Motorista troca de veículo entre blocos distintos da mesma jornada.
448,9,4,4,,9,1,12,normal_break,Intervalo normal,driver,07:01,07:20,19,1,1,,0,False,False,False,True,False,False,False,False,,,Motorista real não disponível; usando identificador da duty
448,1,4,4,1,,,13,commercial_trip_bundle,Viagem agrupada,driver_vehicle,07:20,08:36,76,1,1,5497;5505,2,True,True,False,False,False,False,False,False,,,Segmento operacional agrupado com 2 viagens reais.
448,1,4,4,,1,4,14,driver_vehicle_change,Troca de veículo,driver,08:36,08:36,0,1,1,,0,False,False,False,False,False,False,False,False,,,Motorista troca de veículo entre blocos distintos da mesma jornada.
448,1,4,4,,1,4,15,driver_vehicle_change,Troca de veículo,driver,08:36,08:36,0,1,1,,0,False,False,False,False,False,False,False,False,,,Motorista troca de veículo entre blocos distintos da mesma jornada.
448,1,4,4,,1,4,16,normal_break,Intervalo normal,driver,08:36,08:47,11,1,1,,0,False,False,False,True,False,False,False,False,,,Motorista real não disponível; usando identificador da duty
448,4,4,4,4,,,17,commercial_trip_bundle,Viagem agrupada,driver_vehicle,08:47,09:08,21,1,1,5512;5514,2,True,True,False,False,False,False,False,False,,,Segmento operacional agrupado com 2 viagens reais.
448,4,4,4,,4,10,18,driver_vehicle_change,Troca de veículo,driver,09:08,09:08,0,1,1,,0,False,False,False,False,False,False,False,False,,,Motorista troca de veículo entre blocos distintos da mesma jornada.
448,4,4,4,,4,10,19,driver_vehicle_change,Troca de veículo,driver,09:08,09:08,0,1,1,,0,False,False,False,False,False,False,False,False,,,Motorista troca de veículo entre blocos distintos da mesma jornada.
448,4,4,4,,4,10,20,normal_break,Intervalo normal,driver,09:08,09:40,32,1,1,,0,False,False,False,True,False,False,False,False,,,Motorista real não disponível; usando identificador da duty
448,10,4,4,10,,,21,commercial_trip_bundle,Viagem agrupada,driver_vehicle,09:40,10:49,69,1,1,5534;5542,2,True,True,False,False,False,False,False,False,,,Segmento operacional agrupado com 2 viagens reais.
448,10,4,4,,10,1,22,driver_vehicle_change,Troca de veículo,driver,10:49,10:49,0,1,1,,0,False,False,False,False,False,False,False,False,,,Motorista troca de veículo entre blocos distintos da mesma jornada.
448,10,4,4,,10,1,23,driver_vehicle_change,Troca de veículo,driver,10:49,10:49,0,1,1,,0,False,False,False,False,False,False,False,False,,,Motorista troca de veículo entre blocos distintos da mesma jornada.
448,10,4,4,,10,1,24,mandatory_rest,Descanso obrigatório,driver,10:49,11:20,31,1,1,,0,False,False,False,False,True,False,False,True,,,Motorista real não disponível; usando identificador da duty
448,1,4,4,1,,,25,commercial_trip_bundle,Viagem agrupada,driver_vehicle,11:20,12:25,65,1,1,5559;5566,2,True,True,False,False,False,False,False,False,,,Segmento operacional agrupado com 2 viagens reais.
448,1,4,4,,1,1,26,normal_break,Intervalo normal,driver,12:25,12:47,22,1,1,,0,False,False,False,True,False,False,False,False,,,Motorista real não disponível; usando identificador da duty
448,1,4,4,1,,,27,commercial_trip_bundle,Viagem agrupada,driver_vehicle,12:47,13:08,21,1,1,5574;5576,2,True,True,False,False,False,False,False,False,,,Segmento operacional agrupado com 2 viagens reais.
448,,4,4,,,,28,duty_end,Fim de jornada,driver,13:08,13:08,0,1,1,,0,False,False,False,False,False,False,False,False,,,Motorista real não disponível; usando identificador da duty
448,,5,5,,,,1,duty_start,Início de jornada,driver,04:45,04:45,0,1,1,,0,False,False,False,False,False,False,False,False,,,Motorista real não disponível; usando identificador da duty
448,,5,5,,,,2,pullout,Soltura,driver,04:45,04:55,10,1,1,,0,False,False,False,False,False,True,False,False,,,Motorista real não disponível; usando identificador da duty
448,5,5,5,5,,,3,commercial_trip_bundle,Viagem agrupada,driver_vehicle,04:55,05:56,61,1,1,5438;5445,2,True,True,False,False,False,False,False,False,,,Segmento operacional agrupado com 2 viagens reais.
448,5,5,5,,5,5,4,normal_break,Intervalo normal,driver,05:56,06:10,14,1,1,,0,False,False,False,True,False,False,False,False,,,Motorista real não disponível; usando identificador da duty
448,5,5,5,5,,,5,commercial_trip_bundle,Viagem agrupada,driver_vehicle,06:10,06:37,27,1,1,5456;5460,2,True,True,False,False,False,False,False,False,,,Segmento operacional agrupado com 2 viagens reais.
448,5,5,5,,5,10,6,driver_vehicle_change,Troca de veículo,driver,06:37,06:37,0,1,1,,0,False,False,False,False,False,False,False,False,,,Motorista troca de veículo entre blocos distintos da mesma jornada.
448,5,5,5,,5,10,7,driver_vehicle_change,Troca de veículo,driver,06:37,06:37,0,1,1,,0,False,False,False,False,False,False,False,False,,,Motorista troca de veículo entre blocos distintos da mesma jornada.
448,5,5,5,,5,10,8,normal_break,Intervalo normal,driver,06:37,06:50,13,1,1,,0,False,False,False,True,False,False,False,False,,,Motorista real não disponível; usando identificador da duty
448,10,5,5,10,,,9,commercial_trip_bundle,Viagem agrupada,driver_vehicle,06:50,07:18,28,1,1,5473;5479,2,True,True,False,False,False,False,False,False,,,Segmento operacional agrupado com 2 viagens reais.
448,10,5,5,,10,6,10,driver_vehicle_change,Troca de veículo,driver,07:18,07:18,0,1,1,,0,False,False,False,False,False,False,False,False,,,Motorista troca de veículo entre blocos distintos da mesma jornada.
448,10,5,5,,10,6,11,driver_vehicle_change,Troca de veículo,driver,07:18,07:18,0,1,1,,0,False,False,False,False,False,False,False,False,,,Motorista troca de veículo entre blocos distintos da mesma jornada.
448,10,5,5,,10,6,12,normal_break,Intervalo normal,driver,07:18,07:39,21,1,1,,0,False,False,False,True,False,False,False,False,,,Motorista real não disponível; usando identificador da duty
