schedule_id,duty_id,driver_id,driver_display_name,operator_not_assigned,duty_start,duty_end,sequence,event_type,event_label,event_scope,line_code,direction,start_time,end_time,duration_minutes,trip_id,trip_ids,trip_count,origin_id,destination_id,vehicle_id,from_vehicle_id,to_vehicle_id,sequence_in_duty,sequence_in_bundle,mandatory_rest_required,has_valid_mandatory_rest,issue_severity,issue_codes,issue_explanation,explanation
448,1,1,Operador não atribuído (D1),True,04:20,13:26,27,driver_vehicle_change,Troca de veículo,driver,,,11:14,11:14,0,,,0,1,1,,11,12,,,True,True,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Motorista troca de veículo entre blocos distintos da mesma jornada.
448,1,1,Operador não atribuído (D1),True,04:20,13:26,28,mandatory_rest,Descanso obrigatório,driver,,,11:14,12:55,101,,,0,1,1,,11,12,,,True,True,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,
448,1,1,Operador não atribuído (D1),True,04:20,13:26,29,commercial_trip,Viagem,trip,1042,IDA,12:55,13:15,20,5578,5578,1,1,2,12,,,15,1,True,True,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Segmento operacional agrupado com 2 viagens reais.
448,1,1,Operador não atribuído (D1),True,04:20,13:26,29,commercial_trip,Viagem,trip,1042,VOLTA,13:15,13:26,11,5581,5581,1,2,1,12,,,16,2,True,True,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Segmento operacional agrupado com 2 viagens reais.
448,1,1,Operador não atribuído (D1),True,04:20,13:26,30,duty_end,Fim de jornada,driver,,,13:26,13:26,0,,,0,1,1,,,,,,True,True,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,
448,2,2,Operador não atribuído (D2),True,04:20,13:32,1,duty_start,Início de jornada,driver,,,04:20,04:20,0,,,0,1,1,,,,,,True,True,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,
448,2,2,Operador não atribuído (D2),True,04:20,13:32,2,pullout,Soltura,driver,,,04:20,04:30,10,,,0,1,1,,,,,,True,True,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,
448,2,2,Operador não atribuído (D2),True,04:20,13:32,3,commercial_trip,Viagem,trip,1067,IDA,04:30,05:06,36,5431,5431,1,1,2,2,,,1,1,True,True,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Segmento operacional agrupado com 2 viagens reais.
448,2,2,Operador não atribuído (D2),True,04:20,13:32,3,commercial_trip,Viagem,trip,1067,VOLTA,05:06,05:31,25,5439,5439,1,2,1,2,,,2,2,True,True,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Segmento operacional agrupado com 2 viagens reais.
448,2,2,Operador não atribuído (D2),True,04:20,13:32,4,driver_vehicle_change,Troca de veículo,driver,,,05:31,05:31,0,,,0,1,1,,2,3,,,True,True,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Motorista troca de veículo entre blocos distintos da mesma jornada.
448,2,2,Operador não atribuído (D2),True,04:20,13:32,5,driver_vehicle_change,Troca de veículo,driver,,,05:31,05:31,0,,,0,1,1,,2,3,,,True,True,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Motorista troca de veículo entre blocos distintos da mesma jornada.
448,2,2,Operador não atribuído (D2),True,04:20,13:32,6,normal_break,Intervalo normal,driver,,,05:31,05:45,14,,,0,1,1,,2,3,,,True,True,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,
448,2,2,Operador não atribuído (D2),True,04:20,13:32,7,commercial_trip,Viagem,trip,1042,IDA,05:45,05:59,14,5447,5447,1,1,2,3,,,3,1,True,True,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Segmento operacional agrupado com 2 viagens reais.
448,2,2,Operador não atribuído (D2),True,04:20,13:32,7,commercial_trip,Viagem,trip,1042,VOLTA,05:59,06:11,12,5450,5450,1,2,1,3,,,4,2,True,True,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Segmento operacional agrupado com 2 viagens reais.
448,2,2,Operador não atribuído (D2),True,04:20,13:32,8,normal_break,Intervalo normal,driver,,,06:11,06:26,15,,,0,1,1,,3,3,,,True,True,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,
