schedule_id,block_id,duty_id,driver_id,driver_display_name,operator_not_assigned,vehicle_id,from_vehicle_id,to_vehicle_id,sequence,event_type,event_label,event_scope,duty_start,duty_end,start_time,end_time,duration_minutes,origin_id,destination_id,trip_ids,trip_count,is_work_time,is_driving_time,is_idle_time,is_normal_break,is_mandatory_rest,is_pullout,is_pullback,rest_valid,mandatory_rest_required,has_valid_mandatory_rest,rule_code,violation_code,issue_severity,issue_codes,issue_explanation,explanation
448,,1,1,Operador não atribuído (D1),True,,,,30,duty_end,Fim de jornada,driver,04:20,13:26,13:26,13:26,0,1,1,,0,False,False,False,False,False,False,False,False,True,True,,,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Motorista real não disponível; usando identificador da duty
448,,2,2,Operador não atribuído (D2),True,,,,1,duty_start,Início de jornada,driver,04:20,13:32,04:20,04:20,0,1,1,,0,False,False,False,False,False,False,False,False,True,True,,,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Motorista real não disponível; usando identificador da duty
448,,2,2,Operador não atribuído (D2),True,,,,2,pullout,Soltura,driver,04:20,13:32,04:20,04:30,10,1,1,,0,False,False,False,False,False,True,False,False,True,True,,,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Motorista real não disponível; usando identificador da duty
448,2,2,2,Operador não atribuído (D2),True,2,,,3,commercial_trip_bundle,Viagem agrupada,driver_vehicle,04:20,13:32,04:30,05:31,61,1,1,5431;5439,2,True,True,False,False,False,False,False,False,True,True,,,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Segmento operacional agrupado com 2 viagens reais.
448,2,2,2,Operador não atribuído (D2),True,,2,3,4,driver_vehicle_change,Troca de veículo,driver,04:20,13:32,05:31,05:31,0,1,1,,0,False,False,False,False,False,False,False,False,True,True,,,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Motorista troca de veículo entre blocos distintos da mesma jornada.
448,2,2,2,Operador não atribuído (D2),True,,2,3,5,driver_vehicle_change,Troca de veículo,driver,04:20,13:32,05:31,05:31,0,1,1,,0,False,False,False,False,False,False,False,False,True,True,,,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Motorista troca de veículo entre blocos distintos da mesma jornada.
448,2,2,2,Operador não atribuído (D2),True,,2,3,6,normal_break,Intervalo normal,driver,04:20,13:32,05:31,05:45,14,1,1,,0,False,False,False,True,False,False,False,False,True,True,,,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Motorista real não disponível; usando identificador da duty
448,3,2,2,Operador não atribuído (D2),True,3,,,7,commercial_trip_bundle,Viagem agrupada,driver_vehicle,04:20,13:32,05:45,06:11,26,1,1,5447;5450,2,True,True,False,False,False,False,False,False,True,True,,,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Segmento operacional agrupado com 2 viagens reais.
448,3,2,2,Operador não atribuído (D2),True,,3,3,8,normal_break,Intervalo normal,driver,04:20,13:32,06:11,06:26,15,1,1,,0,False,False,False,True,False,False,False,False,True,True,,,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Motorista real não disponível; usando identificador da duty
448,3,2,2,Operador não atribuído (D2),True,3,,,9,commercial_trip_bundle,Viagem agrupada,driver_vehicle,04:20,13:32,06:26,06:53,27,1,1,5463;5468,2,True,True,False,False,False,False,False,False,True,True,,,,,Aceitar com warning se os tempos estiverem aderentes a operacao real.,Segmento operacional agrupado com 2 viagens reais.
