schedule_id,block_id,duty_id,driver_id,vehicle_id,sequence,event_type,event_label,start_time,end_time,duration_minutes,origin_id,destination_id,trip_ids,is_work_time,is_driving_time,is_idle_time,is_normal_break,is_mandatory_rest,is_pullout,is_pullback,rest_valid,rule_code,violation_code,explanation
428,8,99,,8,4,commercial_trip,Viagem,05:29,05:41,12,1,2,5440,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,8,99,,8,5,commercial_trip,Viagem,05:41,05:47,6,2,1,5443,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,8,99,,8,6,idle,Ociosa,05:47,06:04,17,1,1,,False,False,True,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,8,99,,8,7,commercial_trip,Viagem,06:04,06:15,11,1,2,5452,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,8,99,,8,8,commercial_trip,Viagem,06:15,06:22,7,2,1,5455,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,8,99,,8,9,idle,Ociosa,06:22,06:45,23,1,1,,False,False,True,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,7,99,,7,10,commercial_trip,Viagem,06:45,07:31,46,1,2,5484,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,7,99,,7,11,commercial_trip,Viagem,07:31,08:00,29,2,1,5494,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,7,99,,7,12,normal_break,Intervalo normal,08:00,08:50,50,1,1,,False,False,False,True,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,2,99,,2,13,commercial_trip,Viagem,08:50,09:34,44,1,2,5522,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,2,99,,2,14,commercial_trip,Viagem,09:34,10:00,26,2,1,5529,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,2,99,,2,15,idle,Ociosa,10:00,10:15,15,1,1,,False,False,True,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,10,99,,10,16,commercial_trip,Viagem,10:15,10:32,17,1,2,5537,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,10,99,,10,17,commercial_trip,Viagem,10:32,10:44,12,2,1,5539,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,10,99,,10,18,normal_break,Intervalo normal,10:44,11:15,31,1,1,,False,False,False,True,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,10,99,,10,19,commercial_trip,Viagem,11:15,11:34,19,1,2,5554,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,10,99,,10,20,commercial_trip,Viagem,11:34,11:46,12,2,1,5556,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,10,99,,10,21,idle,Ociosa,11:46,12:10,24,1,1,,False,False,True,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,10,99,,10,22,commercial_trip,Viagem,12:10,12:50,40,1,2,5571,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,10,99,,10,23,commercial_trip,Viagem,12:50,13:16,26,2,1,5579,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,10,99,,10,24,normal_break,Intervalo normal,13:16,13:50,34,1,1,,False,False,False,True,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,1,99,,1,25,commercial_trip,Viagem,13:50,14:32,42,1,2,5596,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,1,99,,1,26,commercial_trip,Viagem,14:32,14:59,27,2,1,5603,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,1,99,,1,27,normal_break,Intervalo normal,14:59,15:30,31,1,1,,False,False,False,True,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,5,99,,5,28,commercial_trip,Viagem,15:30,16:13,43,1,2,5622,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,5,99,,5,29,commercial_trip,Viagem,16:13,16:42,29,2,1,5630,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,5,99,,5,30,normal_break,Intervalo normal,16:42,17:21,39,1,1,,False,False,False,True,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
428,12,99,,12,31,commercial_trip,Viagem,17:21,17:37,16,1,2,5642,True,True,False,False,False,False,False,False,,,Classificação inferida pelo frontend por ausência de segmentos do solver
